[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> string query detail_pesanan -> sql_detail : INSERT INTO detail_pesanan (cre_tms, upd_tms, cre_usr, upd_usr, detail_pesanan_no_pesanan, detail_pesanan_key, detail_pesanan_nama_barang, detail_pesanan_jenis_print, detail_pesanan_warna, detail_pesanan_detail_kain, detail_pesanan_nama_warna, detail_pesanan_ukuran, detail_pesanan_sisi_kanan, detail_pesanan_sisi_kiri, detail_pesanan_sisi_blkng, detail_pesanan_qty, detail_pesanan_satuan, detail_pesanan_qty_packing, detail_pesanan_jenis_packing, detail_pesanan_keterangan) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'PSN/20191208/001', '0000000001', 'KAIN 1', 'MOTIF 1', 2, 'A001', 'MERAH', '', 0, 0, 0, 10, 'Kg', 2, 'Roll', '') ON DUPLICATE KEY UPDATE upd_tms = NOW(), upd_usr = 'superuser', detail_pesanan_no_pesanan = 'PSN/20191208/001', detail_pesanan_key = '0000000001', detail_pesanan_nama_barang = 'KAIN 1', detail_pesanan_jenis_print = 'MOTIF 1', detail_pesanan_warna = 2, detail_pesanan_detail_kain = 'A001', detail_pesanan_nama_warna = 'MERAH', detail_pesanan_ukuran = '', detail_pesanan_sisi_kanan = 0, detail_pesanan_sisi_kiri = 0, detail_pesanan_sisi_blkng = 0, detail_pesanan_qty = 10, detail_pesanan_satuan = 'Kg', detail_pesanan_qty_packing = 2, detail_pesanan_jenis_packing = 'Roll', detail_pesanan_keterangan = ''; INSERT INTO detail_pesanan (cre_tms, upd_tms, cre_usr, upd_usr, detail_pesanan_no_pesanan, detail_pesanan_key, detail_pesanan_nama_barang, detail_pesanan_jenis_print, detail_pesanan_warna, detail_pesanan_detail_kain, detail_pesanan_nama_warna, detail_pesanan_ukuran, detail_pesanan_sisi_kanan, detail_pesanan_sisi_kiri, detail_pesanan_sisi_blkng, detail_pesanan_qty, detail_pesanan_satuan, detail_pesanan_qty_packing, detail_pesanan_jenis_packing, detail_pesanan_keterangan) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'PSN/20191208/001', '0000000002', 'KAIN 1', 'MOTIF 1', 2, 'B002', 'BIRU', '', 0, 0, 0, 10, 'Kg', 2, 'Roll', '') ON DUPLICATE KEY UPDATE upd_tms = NOW(), upd_usr = 'superuser', detail_pesanan_no_pesanan = 'PSN/20191208/001', detail_pesanan_key = '0000000002', detail_pesanan_nama_barang = 'KAIN 1', detail_pesanan_jenis_print = 'MOTIF 1', detail_pesanan_warna = 2, detail_pesanan_detail_kain = 'B002', detail_pesanan_nama_warna = 'BIRU', detail_pesanan_ukuran = '', detail_pesanan_sisi_kanan = 0, detail_pesanan_sisi_kiri = 0, detail_pesanan_sisi_blkng = 0, detail_pesanan_qty = 10, detail_pesanan_satuan = 'Kg', detail_pesanan_qty_packing = 2, detail_pesanan_jenis_packing = 'Roll', detail_pesanan_keterangan = ''; INSERT INTO detail_pesanan (cre_tms, upd_tms, cre_usr, upd_usr, detail_pesanan_no_pesanan, detail_pesanan_key, detail_pesanan_nama_barang, detail_pesanan_jenis_print, detail_pesanan_warna, detail_pesanan_detail_kain, detail_pesanan_nama_warna, detail_pesanan_ukuran, detail_pesanan_sisi_kanan, detail_pesanan_sisi_kiri, detail_pesanan_sisi_blkng, detail_pesanan_qty, detail_pesanan_satuan, detail_pesanan_qty_packing, detail_pesanan_jenis_packing, detail_pesanan_keterangan) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'PSN/20191208/001', '0000000003', 'KAIN 1', 'MOTIF 1', 2, 'A003', 'HIJAU', '', 0, 0, 0, 10, 'Kg', 2, 'Roll', '') ON DUPLICATE KEY UPDATE upd_tms = NOW(), upd_usr = 'superuser', detail_pesanan_no_pesanan = 'PSN/20191208/001', detail_pesanan_key = '0000000003', detail_pesanan_nama_barang = 'KAIN 1', detail_pesanan_jenis_print = 'MOTIF 1', detail_pesanan_warna = 2, detail_pesanan_detail_kain = 'A003', detail_pesanan_nama_warna = 'HIJAU', detail_pesanan_ukuran = '', detail_pesanan_sisi_kanan = 0, detail_pesanan_sisi_kiri = 0, detail_pesanan_sisi_blkng = 0, detail_pesanan_qty = 10, detail_pesanan_satuan = 'Kg', detail_pesanan_qty_packing = 2, detail_pesanan_jenis_packing = 'Roll', detail_pesanan_keterangan = ''; INSERT INTO detail_pesanan (cre_tms, upd_tms, cre_usr, upd_usr, detail_pesanan_no_pesanan, detail_pesanan_key, detail_pesanan_nama_barang, detail_pesanan_jenis_print, detail_pesanan_warna, detail_pesanan_detail_kain, detail_pesanan_nama_warna, detail_pesanan_ukuran, detail_pesanan_sisi_kanan, detail_pesanan_sisi_kiri, detail_pesanan_sisi_blkng, detail_pesanan_qty, detail_pesanan_satuan, detail_pesanan_qty_packing, detail_pesanan_jenis_packing, detail_pesanan_keterangan) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'PSN/20191208/001', '0000000004', 'KAIN 2', 'MOTIF 2', 2, 'M001', 'BIRU', '', 0, 0, 0, 20, 'Kg', 1, 'Roll', '') ON DUPLICATE KEY UPDATE upd_tms = NOW(), upd_usr = 'superuser', detail_pesanan_no_pesanan = 'PSN/20191208/001', detail_pesanan_key = '0000000004', detail_pesanan_nama_barang = 'KAIN 2', detail_pesanan_jenis_print = 'MOTIF 2', detail_pesanan_warna = 2, detail_pesanan_detail_kain = 'M001', detail_pesanan_nama_warna = 'BIRU', detail_pesanan_ukuran = '', detail_pesanan_sisi_kanan = 0, detail_pesanan_sisi_kiri = 0, detail_pesanan_sisi_blkng = 0, detail_pesanan_qty = 20, detail_pesanan_satuan = 'Kg', detail_pesanan_qty_packing = 1, detail_pesanan_jenis_packing = 'Roll', detail_pesanan_keterangan = ''; INSERT INTO detail_pesanan (cre_tms, upd_tms, cre_usr, upd_usr, detail_pesanan_no_pesanan, detail_pesanan_key, detail_pesanan_nama_barang, detail_pesanan_jenis_print, detail_pesanan_warna, detail_pesanan_detail_kain, detail_pesanan_nama_warna, detail_pesanan_ukuran, detail_pesanan_sisi_kanan, detail_pesanan_sisi_kiri, detail_pesanan_sisi_blkng, detail_pesanan_qty, detail_pesanan_satuan, detail_pesanan_qty_packing, detail_pesanan_jenis_packing, detail_pesanan_keterangan) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'PSN/20191208/001', '0000000005', 'KAIN 2', 'MOTIF 2', 2, 'M002', 'MERAH', '', 0, 0, 0, 20, 'Kg', 1, 'Roll', '') ON DUPLICATE KEY UPDATE upd_tms = NOW(), upd_usr = 'superuser', detail_pesanan_no_pesanan = 'PSN/20191208/001', detail_pesanan_key = '0000000005', detail_pesanan_nama_barang = 'KAIN 2', detail_pesanan_jenis_print = 'MOTIF 2', detail_pesanan_warna = 2, detail_pesanan_detail_kain = 'M002', detail_pesanan_nama_warna = 'MERAH', detail_pesanan_ukuran = '', detail_pesanan_sisi_kanan = 0, detail_pesanan_sisi_kiri = 0, detail_pesanan_sisi_blkng = 0, detail_pesanan_qty = 20, detail_pesanan_satuan = 'Kg', detail_pesanan_qty_packing = 1, detail_pesanan_jenis_packing = 'Roll', detail_pesanan_keterangan = ''; INSERT INTO detail_pesanan (cre_tms, upd_tms, cre_usr, upd_usr, detail_pesanan_no_pesanan, detail_pesanan_key, detail_pesanan_nama_barang, detail_pesanan_jenis_print, detail_pesanan_warna, detail_pesanan_detail_kain, detail_pesanan_nama_warna, detail_pesanan_ukuran, detail_pesanan_sisi_kanan, detail_pesanan_sisi_kiri, detail_pesanan_sisi_blkng, detail_pesanan_qty, detail_pesanan_satuan, detail_pesanan_qty_packing, detail_pesanan_jenis_packing, detail_pesanan_keterangan) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'PSN/20191208/001', '0000000006', 'KAIN 3', 'MOTIF 3', 1, 'H002', 'HITAM', '', 0, 0, 0, 10, 'Kg', 2, 'Roll', '') ON DUPLICATE KEY UPDATE upd_tms = NOW(), upd_usr = 'superuser', detail_pesanan_no_pesanan = 'PSN/20191208/001', detail_pesanan_key = '0000000006', detail_pesanan_nama_barang = 'KAIN 3', detail_pesanan_jenis_print = 'MOTIF 3', detail_pesanan_warna = 1, detail_pesanan_detail_kain = 'H002', detail_pesanan_nama_warna = 'HITAM', detail_pesanan_ukuran = '', detail_pesanan_sisi_kanan = 0, detail_pesanan_sisi_kiri = 0, detail_pesanan_sisi_blkng = 0, detail_pesanan_qty = 10, detail_pesanan_satuan = 'Kg', detail_pesanan_qty_packing = 2, detail_pesanan_jenis_packing = 'Roll', detail_pesanan_keterangan = ''; INSERT INTO detail_pesanan (cre_tms, upd_tms, cre_usr, upd_usr, detail_pesanan_no_pesanan, detail_pesanan_key, detail_pesanan_nama_barang, detail_pesanan_jenis_print, detail_pesanan_warna, detail_pesanan_detail_kain, detail_pesanan_nama_warna, detail_pesanan_ukuran, detail_pesanan_sisi_kanan, detail_pesanan_sisi_kiri, detail_pesanan_sisi_blkng, detail_pesanan_qty, detail_pesanan_satuan, detail_pesanan_qty_packing, detail_pesanan_jenis_packing, detail_pesanan_keterangan) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'PSN/20191208/001', '0000000007', 'KAIN 4', 'MOTIF 4', 2, 'P001', 'KUNING', '', 0, 0, 0, 15, 'Kg', 1, 'Roll', '') ON DUPLICATE KEY UPDATE upd_tms = NOW(), upd_usr = 'superuser', detail_pesanan_no_pesanan = 'PSN/20191208/001', detail_pesanan_key = '0000000007', detail_pesanan_nama_barang = 'KAIN 4', detail_pesanan_jenis_print = 'MOTIF 4', detail_pesanan_warna = 2, detail_pesanan_detail_kain = 'P001', detail_pesanan_nama_warna = 'KUNING', detail_pesanan_ukuran = '', detail_pesanan_sisi_kanan = 0, detail_pesanan_sisi_kiri = 0, detail_pesanan_sisi_blkng = 0, detail_pesanan_qty = 15, detail_pesanan_satuan = 'Kg', detail_pesanan_qty_packing = 1, detail_pesanan_jenis_packing = 'Roll', detail_pesanan_keterangan = '' [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> string query pesanan -> sql_pesanan : INSERT INTO pesanan (cre_tms, upd_tms, cre_usr, upd_usr, pesanan_no_pesanan, pesanan_no_surat_jalan_masuk, pesanan_jenis_pesanan, pesanan_tanggal_pesanan, pesanan_pelanggan_id, pesanan_total_qty, pesanan_total_qty_packing) VALUES (NOW(), NOW(), 'superuser', 'superuser', 'PSN/20191208/001', 'SJ001', 'U', '2019-12-08', '4', 135, 11) ON DUPLICATE KEY UPDATE upd_tms = NOW(), upd_usr = 'superuser', pesanan_total_qty = 135, pesanan_total_qty_packing = 11 [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> insert ke pesanan -> sql_pesanan : INSERT INTO pesanan (cre_tms, upd_tms, cre_usr, upd_usr, pesanan_no_pesanan, pesanan_no_surat_jalan_masuk, pesanan_jenis_pesanan, pesanan_tanggal_pesanan, pesanan_pelanggan_id, pesanan_total_qty, pesanan_total_qty_packing) VALUES (NOW(), NOW(), 'superuser', 'superuser', 'PSN/20191208/001', 'SJ001', 'U', '2019-12-08', '4', 135, 11) ON DUPLICATE KEY UPDATE upd_tms = NOW(), upd_usr = 'superuser', pesanan_total_qty = 135, pesanan_total_qty_packing = 11 [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> insert ke pesanan -> BERHASIL [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> array_brg : 7 [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> insert ke detail_pesanan -> value : INSERT INTO detail_pesanan (cre_tms, upd_tms, cre_usr, upd_usr, detail_pesanan_no_pesanan, detail_pesanan_key, detail_pesanan_nama_barang, detail_pesanan_jenis_print, detail_pesanan_warna, detail_pesanan_detail_kain, detail_pesanan_nama_warna, detail_pesanan_ukuran, detail_pesanan_sisi_kanan, detail_pesanan_sisi_kiri, detail_pesanan_sisi_blkng, detail_pesanan_qty, detail_pesanan_satuan, detail_pesanan_qty_packing, detail_pesanan_jenis_packing, detail_pesanan_keterangan) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'PSN/20191208/001', '0000000001', 'KAIN 1', 'MOTIF 1', 2, 'A001', 'MERAH', '', 0, 0, 0, 10, 'Kg', 2, 'Roll', '') ON DUPLICATE KEY UPDATE upd_tms = NOW(), upd_usr = 'superuser', detail_pesanan_no_pesanan = 'PSN/20191208/001', detail_pesanan_key = '0000000001', detail_pesanan_nama_barang = 'KAIN 1', detail_pesanan_jenis_print = 'MOTIF 1', detail_pesanan_warna = 2, detail_pesanan_detail_kain = 'A001', detail_pesanan_nama_warna = 'MERAH', detail_pesanan_ukuran = '', detail_pesanan_sisi_kanan = 0, detail_pesanan_sisi_kiri = 0, detail_pesanan_sisi_blkng = 0, detail_pesanan_qty = 10, detail_pesanan_satuan = 'Kg', detail_pesanan_qty_packing = 2, detail_pesanan_jenis_packing = 'Roll', detail_pesanan_keterangan = '' [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> insert ke detail_pesanan -> BERHASIL [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> insert ke detail_pesanan -> value : INSERT INTO detail_pesanan (cre_tms, upd_tms, cre_usr, upd_usr, detail_pesanan_no_pesanan, detail_pesanan_key, detail_pesanan_nama_barang, detail_pesanan_jenis_print, detail_pesanan_warna, detail_pesanan_detail_kain, detail_pesanan_nama_warna, detail_pesanan_ukuran, detail_pesanan_sisi_kanan, detail_pesanan_sisi_kiri, detail_pesanan_sisi_blkng, detail_pesanan_qty, detail_pesanan_satuan, detail_pesanan_qty_packing, detail_pesanan_jenis_packing, detail_pesanan_keterangan) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'PSN/20191208/001', '0000000002', 'KAIN 1', 'MOTIF 1', 2, 'B002', 'BIRU', '', 0, 0, 0, 10, 'Kg', 2, 'Roll', '') ON DUPLICATE KEY UPDATE upd_tms = NOW(), upd_usr = 'superuser', detail_pesanan_no_pesanan = 'PSN/20191208/001', detail_pesanan_key = '0000000002', detail_pesanan_nama_barang = 'KAIN 1', detail_pesanan_jenis_print = 'MOTIF 1', detail_pesanan_warna = 2, detail_pesanan_detail_kain = 'B002', detail_pesanan_nama_warna = 'BIRU', detail_pesanan_ukuran = '', detail_pesanan_sisi_kanan = 0, detail_pesanan_sisi_kiri = 0, detail_pesanan_sisi_blkng = 0, detail_pesanan_qty = 10, detail_pesanan_satuan = 'Kg', detail_pesanan_qty_packing = 2, detail_pesanan_jenis_packing = 'Roll', detail_pesanan_keterangan = '' [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> insert ke detail_pesanan -> BERHASIL [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> insert ke detail_pesanan -> value : INSERT INTO detail_pesanan (cre_tms, upd_tms, cre_usr, upd_usr, detail_pesanan_no_pesanan, detail_pesanan_key, detail_pesanan_nama_barang, detail_pesanan_jenis_print, detail_pesanan_warna, detail_pesanan_detail_kain, detail_pesanan_nama_warna, detail_pesanan_ukuran, detail_pesanan_sisi_kanan, detail_pesanan_sisi_kiri, detail_pesanan_sisi_blkng, detail_pesanan_qty, detail_pesanan_satuan, detail_pesanan_qty_packing, detail_pesanan_jenis_packing, detail_pesanan_keterangan) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'PSN/20191208/001', '0000000003', 'KAIN 1', 'MOTIF 1', 2, 'A003', 'HIJAU', '', 0, 0, 0, 10, 'Kg', 2, 'Roll', '') ON DUPLICATE KEY UPDATE upd_tms = NOW(), upd_usr = 'superuser', detail_pesanan_no_pesanan = 'PSN/20191208/001', detail_pesanan_key = '0000000003', detail_pesanan_nama_barang = 'KAIN 1', detail_pesanan_jenis_print = 'MOTIF 1', detail_pesanan_warna = 2, detail_pesanan_detail_kain = 'A003', detail_pesanan_nama_warna = 'HIJAU', detail_pesanan_ukuran = '', detail_pesanan_sisi_kanan = 0, detail_pesanan_sisi_kiri = 0, detail_pesanan_sisi_blkng = 0, detail_pesanan_qty = 10, detail_pesanan_satuan = 'Kg', detail_pesanan_qty_packing = 2, detail_pesanan_jenis_packing = 'Roll', detail_pesanan_keterangan = '' [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> insert ke detail_pesanan -> BERHASIL [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> insert ke detail_pesanan -> value : INSERT INTO detail_pesanan (cre_tms, upd_tms, cre_usr, upd_usr, detail_pesanan_no_pesanan, detail_pesanan_key, detail_pesanan_nama_barang, detail_pesanan_jenis_print, detail_pesanan_warna, detail_pesanan_detail_kain, detail_pesanan_nama_warna, detail_pesanan_ukuran, detail_pesanan_sisi_kanan, detail_pesanan_sisi_kiri, detail_pesanan_sisi_blkng, detail_pesanan_qty, detail_pesanan_satuan, detail_pesanan_qty_packing, detail_pesanan_jenis_packing, detail_pesanan_keterangan) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'PSN/20191208/001', '0000000004', 'KAIN 2', 'MOTIF 2', 2, 'M001', 'BIRU', '', 0, 0, 0, 20, 'Kg', 1, 'Roll', '') ON DUPLICATE KEY UPDATE upd_tms = NOW(), upd_usr = 'superuser', detail_pesanan_no_pesanan = 'PSN/20191208/001', detail_pesanan_key = '0000000004', detail_pesanan_nama_barang = 'KAIN 2', detail_pesanan_jenis_print = 'MOTIF 2', detail_pesanan_warna = 2, detail_pesanan_detail_kain = 'M001', detail_pesanan_nama_warna = 'BIRU', detail_pesanan_ukuran = '', detail_pesanan_sisi_kanan = 0, detail_pesanan_sisi_kiri = 0, detail_pesanan_sisi_blkng = 0, detail_pesanan_qty = 20, detail_pesanan_satuan = 'Kg', detail_pesanan_qty_packing = 1, detail_pesanan_jenis_packing = 'Roll', detail_pesanan_keterangan = '' [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> insert ke detail_pesanan -> BERHASIL [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> insert ke detail_pesanan -> value : INSERT INTO detail_pesanan (cre_tms, upd_tms, cre_usr, upd_usr, detail_pesanan_no_pesanan, detail_pesanan_key, detail_pesanan_nama_barang, detail_pesanan_jenis_print, detail_pesanan_warna, detail_pesanan_detail_kain, detail_pesanan_nama_warna, detail_pesanan_ukuran, detail_pesanan_sisi_kanan, detail_pesanan_sisi_kiri, detail_pesanan_sisi_blkng, detail_pesanan_qty, detail_pesanan_satuan, detail_pesanan_qty_packing, detail_pesanan_jenis_packing, detail_pesanan_keterangan) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'PSN/20191208/001', '0000000005', 'KAIN 2', 'MOTIF 2', 2, 'M002', 'MERAH', '', 0, 0, 0, 20, 'Kg', 1, 'Roll', '') ON DUPLICATE KEY UPDATE upd_tms = NOW(), upd_usr = 'superuser', detail_pesanan_no_pesanan = 'PSN/20191208/001', detail_pesanan_key = '0000000005', detail_pesanan_nama_barang = 'KAIN 2', detail_pesanan_jenis_print = 'MOTIF 2', detail_pesanan_warna = 2, detail_pesanan_detail_kain = 'M002', detail_pesanan_nama_warna = 'MERAH', detail_pesanan_ukuran = '', detail_pesanan_sisi_kanan = 0, detail_pesanan_sisi_kiri = 0, detail_pesanan_sisi_blkng = 0, detail_pesanan_qty = 20, detail_pesanan_satuan = 'Kg', detail_pesanan_qty_packing = 1, detail_pesanan_jenis_packing = 'Roll', detail_pesanan_keterangan = '' [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> insert ke detail_pesanan -> BERHASIL [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> insert ke detail_pesanan -> value : INSERT INTO detail_pesanan (cre_tms, upd_tms, cre_usr, upd_usr, detail_pesanan_no_pesanan, detail_pesanan_key, detail_pesanan_nama_barang, detail_pesanan_jenis_print, detail_pesanan_warna, detail_pesanan_detail_kain, detail_pesanan_nama_warna, detail_pesanan_ukuran, detail_pesanan_sisi_kanan, detail_pesanan_sisi_kiri, detail_pesanan_sisi_blkng, detail_pesanan_qty, detail_pesanan_satuan, detail_pesanan_qty_packing, detail_pesanan_jenis_packing, detail_pesanan_keterangan) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'PSN/20191208/001', '0000000006', 'KAIN 3', 'MOTIF 3', 1, 'H002', 'HITAM', '', 0, 0, 0, 10, 'Kg', 2, 'Roll', '') ON DUPLICATE KEY UPDATE upd_tms = NOW(), upd_usr = 'superuser', detail_pesanan_no_pesanan = 'PSN/20191208/001', detail_pesanan_key = '0000000006', detail_pesanan_nama_barang = 'KAIN 3', detail_pesanan_jenis_print = 'MOTIF 3', detail_pesanan_warna = 1, detail_pesanan_detail_kain = 'H002', detail_pesanan_nama_warna = 'HITAM', detail_pesanan_ukuran = '', detail_pesanan_sisi_kanan = 0, detail_pesanan_sisi_kiri = 0, detail_pesanan_sisi_blkng = 0, detail_pesanan_qty = 10, detail_pesanan_satuan = 'Kg', detail_pesanan_qty_packing = 2, detail_pesanan_jenis_packing = 'Roll', detail_pesanan_keterangan = '' [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> insert ke detail_pesanan -> BERHASIL [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> insert ke detail_pesanan -> value : INSERT INTO detail_pesanan (cre_tms, upd_tms, cre_usr, upd_usr, detail_pesanan_no_pesanan, detail_pesanan_key, detail_pesanan_nama_barang, detail_pesanan_jenis_print, detail_pesanan_warna, detail_pesanan_detail_kain, detail_pesanan_nama_warna, detail_pesanan_ukuran, detail_pesanan_sisi_kanan, detail_pesanan_sisi_kiri, detail_pesanan_sisi_blkng, detail_pesanan_qty, detail_pesanan_satuan, detail_pesanan_qty_packing, detail_pesanan_jenis_packing, detail_pesanan_keterangan) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'PSN/20191208/001', '0000000007', 'KAIN 4', 'MOTIF 4', 2, 'P001', 'KUNING', '', 0, 0, 0, 15, 'Kg', 1, 'Roll', '') ON DUPLICATE KEY UPDATE upd_tms = NOW(), upd_usr = 'superuser', detail_pesanan_no_pesanan = 'PSN/20191208/001', detail_pesanan_key = '0000000007', detail_pesanan_nama_barang = 'KAIN 4', detail_pesanan_jenis_print = 'MOTIF 4', detail_pesanan_warna = 2, detail_pesanan_detail_kain = 'P001', detail_pesanan_nama_warna = 'KUNING', detail_pesanan_ukuran = '', detail_pesanan_sisi_kanan = 0, detail_pesanan_sisi_kiri = 0, detail_pesanan_sisi_blkng = 0, detail_pesanan_qty = 15, detail_pesanan_satuan = 'Kg', detail_pesanan_qty_packing = 1, detail_pesanan_jenis_packing = 'Roll', detail_pesanan_keterangan = '' [] []
[2019-12-13 05:38:01] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> insert ke detail_pesanan -> BERHASIL [] []
[2019-12-13 05:39:21] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-12-13 05:39:21] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-12-13 05:39:21] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> selectkey : SELECT MAX(detail_pesanan_key) AS detail_key FROM detail_pesanan; [] []
[2019-12-13 05:39:21] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> detail_key : 0000000008 [] []
[2019-12-13 05:39:21] RabbitPrint.WARNING:  | | | pesanan.php -> load [] []
[2019-12-13 05:39:21] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> load [] []
[2019-12-13 05:39:21] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_psn : SELECT * FROM pesanan WHERE pesanan_no_pesanan = 'PSN/20191208/001' [] []
[2019-12-13 05:39:21] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_plg : SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 4 [] []
[2019-12-13 05:39:21] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_detailpsn : SELECT * FROM detail_pesanan WHERE detail_pesanan_no_pesanan = 'PSN/20191208/001' [] []
[2019-12-13 05:40:09] RabbitPrint.WARNING:  | | | proses_pesanan_update.php -> load.. [] []
